target,n_rows,n_schools,n_features_before,n_features_after,R2_before,R2_after,dR2,RMSE_before,RMSE_after,MAE_before,MAE_after
math_avg_grade,2995,823,18,13,0.11020691454060194,0.42997673097685063,0.3197698164362487,6.667918224009435,5.326071532097248,5.192849801501381,4.085583951250884
english_avg_grade,2963,818,18,21,0.2028778389487406,0.4737489253916675,0.2708710864429269,5.4634266528088125,4.439263866127353,4.17172486187517,3.397829514884491
math_5unit_participation,3221,857,18,20,0.05093235047636273,0.4275196914413818,0.37658734096501906,0.1057429983296864,0.08199772812173514,0.08118866290247106,0.055950572855710944
english_5unit_participation,3226,859,18,18,0.244111997708388,0.5581805932918492,0.31406859558346123,0.2334603051450354,0.17800463544356926,0.17969223772603612,0.12976323380491678
