target,n_rows,n_schools,R2_municipal_mean,R2_municipal_std,R2_full_mean,R2_full_std,dR2_mean,dR2_std,dR2_min,dR2_max,folds_improved,n_folds
math_avg_grade,2995,823,0.10913171793053722,0.019031793790437835,0.42047839450689645,0.04978921756860123,0.31134667657635917,0.03991512797948681,0.2705430824832822,0.37010796646548494,5,5
english_avg_grade,2963,818,0.19563005350986815,0.028156061346744123,0.4520111167596802,0.04243109034966958,0.2563810632498121,0.03428911091653113,0.1986987357425336,0.2882685935130772,5,5
math_5unit_participation,3221,857,0.055261386135304826,0.03269672293886199,0.39503151284093735,0.03715790640960068,0.3397701267056325,0.039185568873602146,0.2951083879839883,0.3902047527445234,5,5
english_5unit_participation,3226,859,0.22895088375577508,0.0498566593617409,0.5572177434063663,0.05297244242973055,0.3282668596505913,0.04347189344859282,0.2793499622899235,0.3730710818158407,5,5
