arm,target,n_rows,R2_mean,R2_std,RMSE_mean,MAE_mean
retained (primary),math_avg_grade,2995,0.42047839450689645,0.04978921756860108,5.369232819228565,4.108294452968438
retained (primary),english_avg_grade,2963,0.4520111167596803,0.0424310903496697,4.529358686872918,3.445071718299613
retained (primary),math_5unit_participation,3221,0.39503151284093735,0.03715790640960073,0.08450935215733671,0.058073831635031326
retained (primary),english_5unit_participation,3226,0.5572177434063664,0.05297244242973051,0.17846849242521898,0.13063641295469286
excluded,math_avg_grade,2960,0.4314658153144119,0.034329134262812554,5.273033033358153,4.051533033610793
excluded,english_avg_grade,2929,0.4290798377255477,0.04954617512327822,4.579445417937243,3.4800896248622832
excluded,math_5unit_participation,3182,0.40765127447752025,0.05633061993821938,0.07989189521698169,0.05675284940481161
excluded,english_5unit_participation,3187,0.560414604345739,0.0827222266102342,0.17471353895582445,0.1277131201673936
