target,fold,model,n_features,n_train,n_test,R2,RMSE,MAE,best_params
english_avg_grade,2,HistGradientBoosting,14,2370,593,0.49366322649611083,4.269141834227594,3.323968987809011,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 150, 'max_depth': 3, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
english_avg_grade,3,Ridge,14,2371,592,0.43778144585903545,4.6794201760181915,3.5589079137450774,{'ridge__alpha': 100.0}
english_avg_grade,3,SGD (linear SVM),14,2371,592,0.43875109132583345,4.675383190228063,3.5562820099297703,"{'sgdregressor__penalty': 'elasticnet', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.01}"
english_avg_grade,3,RandomForest,14,2371,592,0.4541257838240935,4.610900461721593,3.4976809755671825,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 0.3, 'max_depth': 14}"
english_avg_grade,3,HistGradientBoosting,14,2371,592,0.4579172430815315,4.594859675490682,3.4963078787141812,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
english_avg_grade,4,Ridge,13,2371,592,0.42507614579033404,4.848359881080766,3.6846160178514715,{'ridge__alpha': 100.0}
english_avg_grade,4,SGD (linear SVM),13,2371,592,0.4202430672763625,4.868696020872127,3.710936511622751,"{'sgdregressor__penalty': 'l1', 'sgdregressor__learning_rate': 'invscaling', 'sgdregressor__alpha': 0.1}"
english_avg_grade,4,RandomForest,13,2371,592,0.44826266067567677,4.749587280054915,3.5221744685271057,"{'n_estimators': 500, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 8}"
english_avg_grade,4,HistGradientBoosting,13,2371,592,0.42557744974783007,4.846245660191191,3.5957401214795675,"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 150, 'max_depth': 3, 'learning_rate': 0.02, 'l2_regularization': 0.1}"
math_5unit_participation,0,Ridge,11,2576,645,0.33175080701146487,0.09071345383211264,0.06425484966878127,{'ridge__alpha': 50.0}
