target,model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_features_mean
math_avg_grade,RandomForest,0.4204783945068963,0.04978921756860135,5.369232819228566,0.1266692399662774,4.108294452968438,0.08293533228518196,11.6
math_avg_grade,HistGradientBoosting,0.41442239354443766,0.0538705651390179,5.39613328079863,0.1325291255656107,4.157983536609804,0.08098327967230895,11.6
math_avg_grade,Ridge,0.40499913652498576,0.06567640850371566,5.436188651657031,0.17720265612788053,4.186118270747424,0.13119887442301484,11.6
math_avg_grade,SGDRegressor (linear),0.40220320366407575,0.05803450506274551,5.4515973348615185,0.15985753682798073,4.194362398837521,0.1100393963634646,11.6
english_avg_grade,RandomForest,0.4520111167596802,0.04243109034966978,4.529358686872918,0.32201724033704665,3.4450717182996136,0.19352666180764377,13.8
english_avg_grade,HistGradientBoosting,0.44092002628595306,0.0429709227589467,4.575289573247616,0.32919050031012437,3.4918857059709465,0.17304012414635853,13.8
english_avg_grade,Ridge,0.41028301393358735,0.04465571744652677,4.695173666834033,0.2618648989944616,3.599864865869988,0.17992358867450836,13.8
english_avg_grade,SGDRegressor (linear),0.4099016634161662,0.043210185077503446,4.697604434117804,0.2739159259365246,3.6042523099017556,0.18742434808218797,13.8
math_5unit_participation,RandomForest,0.39503151284093735,0.03715790640960068,0.08450935215733671,0.011075566026461613,0.058073831635031326,0.004781844027034302,11.6
math_5unit_participation,HistGradientBoosting,0.3777041829324582,0.030329914040702906,0.08548126070706288,0.00872715698889492,0.05800335236077843,0.00481272360954876,11.6
math_5unit_participation,Ridge,0.32307150611066493,0.04264206375509846,0.08933222441250677,0.011273057176625625,0.06370736431451043,0.004123410556020494,11.6
math_5unit_participation,SGDRegressor (linear),0.3229193085511219,0.041357580031222974,0.08931689548915782,0.011011021148348881,0.06369181408385571,0.003920967293082794,11.6
english_5unit_participation,RandomForest,0.5572177434063663,0.05297244242973054,0.17846849242521898,0.01172630571618106,0.13063641295469286,0.007936414406665517,13.6
english_5unit_participation,HistGradientBoosting,0.5390321164231779,0.06358451251536756,0.1819503990000427,0.012292920039489664,0.13440959483370443,0.009042159921841103,13.6
english_5unit_participation,SGDRegressor (linear),0.5035974047232671,0.0370407723236692,0.18904246299152203,0.005844669778135077,0.1403297515465661,0.005329844205806695,13.6
english_5unit_participation,Ridge,0.5022030427857738,0.03645695845499435,0.18930608450059383,0.005435017761153898,0.1407436770216147,0.004977289211468669,13.6
