variant,dropped,n_predictors,MICE_R2_mean,MICE_R2_std,MICE_RMSE_mean,MICE_MAE_mean,Median_R2_mean,MICE_wins,n_runs
full,(none),14,0.9535781417184397,0.005986695647097149,0.1988937816258122,0.14017755967474677,-0.004567405498307408,25,25
no_cluster,cluster,13,0.3404930482230259,0.0532986510858366,0.7499106726044862,0.5892788278206192,-0.004567405498307408,25,25
no_targets,"math_avg_grade, english_avg_grade, math_5unit_participation, english_5unit_participation",10,0.9530200031688238,0.005863272662628522,0.20012919168423104,0.1412683654992704,-0.004567405498307408,25,25
no_cluster_no_targets,"cluster, math_avg_grade, english_avg_grade, math_5unit_participation, english_5unit_participation",9,0.3312656681172381,0.05604119275224864,0.7550136049995931,0.5945403879145583,-0.004567405498307408,25,25
